New Traktor Empat Roda ,,,1,Unit,126047000,0,0,0,126047000,,"New Traktor Empat Roda :               Model : China Tractor parts , 4x4 compact agricultural tractor. (US $7,800 - 8,900)  Nilai Beli Indonesia  (13.235  x  7.800 US $)                      IDR : 103.233.000",0202010104,2017
New Traktor Empat Roda ,,,1,Unit,143823000,0,0,0,143823000,,"New Traktor Empat Roda :               Model : China HX504 Agricultural Tractor part with front end loader. (US $7,800 - 8,900)  Nilai Beli Indonesia (13.235  x  8.900 US $)                      IDR : 117.791.500",0202010104,2017
Dump Truck ,,,1,Unit,342246000,0,0,0,342246000,,"Dump Truck : Hino Dutro 130 MD Long, 130 PS, 6 ban, 8 ton, chassis panjang, (New/Terbaru) Tahun : 2015 (Kategori II) Light Truck Series.",0202010503,2017
Dump Truck ,,,1,Unit,695970000,0,0,0,695970000,,"Dump Truck : Hino FG235JJ, 235 PS, 6 ban, 15,2 ton, 4x2, (New/Terbaru) Tahun : 2015 (Kategori III)  MediumTruck             Hino Ranger.",0202010503,2017
Mitsubishi Colt Diesel ,,,1,Unit,330891000,0,0,0,330891000,,"Mitsubishi Colt Diesel :   FE 71 Long, 110 PS, 4 ban, Bak Besi (New/Terbaru) Tahun : 2016 ",0202010503,2017
Mitsubishi Colt Diesel ,,,1,Unit,410866500,0,0,0,410866500,,"Mitsubishi Colt Diesel :    FE 84G Kabin Lebar,                136 PS,  6 ban, Bak Besi  (New / Terbaru), Tahun : 2016 ",0202010503,2017
Wheel Loader ,,,1,Unit,1502873000,0,0,0,1502873000,,"Wheel Loader :                             Model : Caterpilar 908H2/CAB/GPB 1.0 CUM, Nama Penyedia : PT. Trakindo Utama  (USD. 93.000) nilai Indonesia (13.235 x 93.000 U$) IDR : 1.230.855.000",0202010902,2017
Wheel Loader ,,,1,Unit,2848996000,0,0,0,2848996000,,"Wheel Loader :                             Model : Caterpilar 924K /ROPSCAB / GPB, PT. Trakindo Utama, (USD. 176,300) nilai Indonesia (13.235 x 176.300 U$) IDR : 2.333.330.500",0202010902,2017
TRUK CRANE ,,,1,Unit,854450000,0,0,0,854450000,,"TRUK CRANE :                           Nama Produk : TRUCK CRANE 3,2 TON - HINO DUTRO 130 PS HD, Nama Penyedia : PT.Berkat Anugerah Raya",0202011003,2017
TRUK CRANE ,,,1,Unit,864828000,0,0,0,864828000,,"TRUK CRANE :                           Nama Produk : TRUCK 300 DUTRO 130 HD 6,8 PS CRANE UNIC + BAK BESI PT. Sentra Bumu Palapa (VIN 2016), PT. Hino Motors Sales Indonesia",0202011003,2017
SKY LIFT ,,,1,Unit,1322031500,0,0,0,1322031500,,"SKY LIFT : Mobil Pengangkat 300 Dutro 130HD 6,8 PS SkyLift Telescopic Palfinger 13,5 m, surfindo/Diesel (Vin.Th. 2016)",0202011003,2017
MOBILE ,,,1,Unit,28926000,0,0,0,28926000,,"MOBILE : LIFT SCISSOR, Model China, Angkat Gunting Hidrolik, (Height: 6m, Power 2,2kw, Brand Name : Sinolift, Scissor Lift, Table Size  : 1650x750mm) U$. 1.790  (IDR : 13.235x1.790 = 23.690.650",0202011008,2017
MOBILE ,,,1,Unit,203615000,0,0,0,203615000,,"MOBILE : LIFT SCISSOR, Model China, Angkat Gunting Hidrolik, (Height: 8,3m, Power 3kw, Brand Name : AOS, Scissor Lift, Table Size  : 2,25x1,15x1,1m) U$. 12.600  (IDR : 13.235x12.600 = 166.761.000",0202011008,2017
MOBILE ,,,1,Unit,218159000,0,0,0,218159000,,"MOBILE : LIFT SCISSOR, Model China, Angkat Gunting Hidrolik, (Height: 12m, Power 3kw, Brand Name : AOS, Scissor Lift, Table Size  : 2,25x1,15x1,1m) U$. 13.500  (IDR : 13.235x13.500 = 178.672.500",0202011008,2017
MESIN PROSES SAMPAH ,,,1,Unit,22385000,0,0,0,22385000,,"MESIN PROSES SAMPAH :           Type HY300, Kapasitas 750kg/hari, Motor 15pk, Pisau 15inc, Rangka Unp65, Body 20mm,As 60mm",0202011106,2017
